id,Credit_Score,Duration,Amount,InstallmentRatePercentage,ResidenceDuration,Age,NumberExistingCredits,NumberPeopleMaintenance,Telephone,ForeignWorker,CheckingAccountStatus.lt.0,CheckingAccountStatus.0.to.200,CheckingAccountStatus.gt.200,CreditHistory.ThisBank.AllPaid,CreditHistory.PaidDuly,CreditHistory.Delay,CreditHistory.Critical
0,Good,6,1169,4,4,67,2,1,0,1,1,0,0,0,0,0,1
1,Bad,48,5951,2,2,22,1,1,1,1,0,1,0,0,1,0,0
2,Good,12,2096,2,3,49,1,2,1,1,0,0,0,0,0,0,1
3,Good,36,9055,2,4,35,1,2,0,1,0,0,0,0,1,0,0
4,Good,24,2835,3,4,53,1,1,1,1,0,0,0,0,1,0,0
5,Good,12,3059,2,4,61,1,1,1,1,0,0,0,0,1,0,0
6,Bad,30,5234,4,2,28,2,1,1,1,0,1,0,0,0,0,1
7,Bad,48,4308,3,4,24,1,1,1,1,1,0,0,0,1,0,0
8,Good,12,1567,1,1,22,1,1,0,1,0,1,0,0,1,0,0
9,Bad,24,1199,4,4,60,2,1,1,1,1,0,0,0,0,0,1
10,Good,15,1403,2,4,28,1,1,1,1,1,0,0,0,1,0,0
11,Good,24,2424,4,4,53,2,1,1,1,0,0,0,0,0,0,1
12,Good,30,8072,2,3,25,3,1,1,1,1,0,0,0,0,0,0
13,Bad,24,12579,4,2,44,1,1,0,1,0,1,0,0,1,0,0
14,Good,6,2647,2,3,44,1,2,1,1,1,0,0,0,1,0,0
15,Good,10,2241,1,3,48,2,2,1,0,1,0,0,0,0,0,1
16,Good,10,2069,2,1,26,2,1,1,0,0,0,0,0,0,0,1
17,Good,6,1374,1,2,36,1,1,0,1,1,0,0,0,1,0,0
18,Good,6,426,4,4,39,1,1,1,1,0,0,0,0,0,0,0
19,Good,12,409,3,3,42,2,1,1,1,0,0,1,1,0,0,0
20,Good,7,2415,3,2,34,1,1,1,1,0,1,0,0,1,0,0
21,Bad,60,6836,3,4,63,2,1,0,1,1,0,0,0,0,1,0
22,Good,18,5866,2,2,30,2,1,0,1,0,1,0,0,1,0,0
23,Good,12,1264,4,4,57,1,1,1,1,0,0,0,0,0,0,1
24,Good,12,1474,4,1,33,1,1,0,1,0,0,1,0,1,0,0
25,Bad,45,4746,4,2,25,2,1,1,1,0,1,0,0,0,0,1
26,Good,48,6110,1,3,31,1,1,0,1,0,0,0,0,0,0,1
27,Bad,18,2100,4,2,37,1,1,1,1,0,0,1,0,1,0,0
28,Good,10,1225,2,2,37,1,1,0,1,0,0,1,0,1,0,0
29,Good,9,458,4,3,24,1,1,1,1,0,1,0,0,1,0,0
30,Good,30,2333,4,2,30,1,1,1,1,0,0,0,0,1,0,0
31,Good,12,1158,3,1,26,1,1,0,1,0,1,0,0,1,0,0
32,Good,18,6204,2,4,44,1,2,0,1,0,1,0,0,0,1,0
33,Good,30,6187,1,4,24,2,1,1,1,1,0,0,0,0,0,1
34,Bad,48,6143,4,4,58,2,1,1,1,1,0,0,0,0,0,1
35,Good,11,1393,4,4,35,2,1,1,1,0,0,0,0,0,0,1
36,Good,36,2299,4,4,39,1,1,1,1,0,0,0,0,1,0,0
37,Good,6,1352,1,2,23,1,1,0,1,1,0,0,0,1,0,0
38,Good,11,7228,1,4,39,2,1,1,1,0,0,0,0,0,0,1
39,Good,24,2333,4,2,29,1,1,1,1,0,1,0,0,0,1,0
40,Good,27,5965,1,2,30,2,1,0,1,0,1,0,0,0,1,0
41,Good,12,1262,3,2,25,1,1,1,1,0,0,0,0,1,0,0
42,Good,18,3378,2,1,31,1,1,0,1,0,0,0,0,1,0,0
43,Bad,36,2225,4,4,57,2,1,0,1,0,1,0,0,0,1,0
44,Good,6,783,1,2,26,1,2,1,1,0,0,0,1,0,0,0
45,Bad,12,6468,2,1,52,1,1,0,1,0,1,0,0,1,0,0
46,Good,36,9566,2,2,31,2,1,1,1,0,0,0,0,0,0,1
47,Bad,36,6229,4,4,23,2,1,0,1,1,0,0,0,0,0,1
48,Good,9,1391,2,1,27,1,1,0,1,0,1,0,0,1,0,0
49,Good,15,1537,4,4,50,2,1,0,1,0,1,0,0,0,0,1
50,Bad,36,1953,4,4,61,1,1,0,1,0,1,0,0,0,0,0
51,Bad,48,14421,2,2,25,1,1,0,1,0,1,0,0,0,0,0
52,Good,27,5190,4,4,48,4,2,0,1,0,0,0,0,1,0,0
53,Bad,36,1819,4,4,37,1,1,0,1,0,0,0,0,1,0,0
54,Good,36,2394,4,4,25,1,1,1,1,0,0,0,0,1,0,0
55,Good,36,8133,1,2,30,1,1,1,1,0,0,0,0,1,0,0
56,Good,7,730,4,2,46,2,1,0,1,0,0,0,0,0,0,1
57,Good,8,1164,3,4,51,2,2,0,1,1,0,0,0,0,0,1
58,Good,42,5954,2,1,41,2,1,1,1,0,1,0,0,0,0,1
59,Bad,36,1977,4,4,40,1,1,0,1,1,0,0,0,1,0,0
60,Good,12,1526,4,4,66,2,1,1,1,1,0,0,0,0,0,1
61,Bad,42,3965,4,3,34,1,1,1,1,1,0,0,0,1,0,0
62,Good,11,4771,2,4,51,1,1,1,1,0,1,0,0,0,1,0
63,Good,54,9436,2,2,39,1,2,1,1,0,0,0,0,0,0,0
64,Good,30,3832,2,1,22,1,1,1,1,0,1,0,0,1,0,0
65,Bad,24,5943,1,1,44,2,1,0,1,0,0,0,0,1,0,0
66,Good,15,1213,4,3,47,1,1,0,1,0,0,0,0,1,0,0
67,Good,18,1568,3,4,24,1,1,1,1,0,0,0,0,1,0,0
68,Good,24,1755,4,4,58,1,1,0,1,1,0,0,0,1,0,0
69,Good,10,2315,3,4,52,1,1,1,1,1,0,0,0,1,0,0
70,Good,12,1412,4,2,29,2,1,0,1,0,0,0,0,0,0,1
71,Bad,12,1108,4,3,28,2,1,1,1,1,0,0,0,0,0,0
72,Good,12,618,4,4,56,1,1,1,1,0,0,0,0,0,0,1
73,Good,12,1409,4,3,54,1,1,1,1,1,0,0,0,0,0,1
74,Bad,12,797,4,3,33,1,2,1,1,0,0,0,0,0,0,1
75,Good,24,3617,4,4,20,2,1,1,1,0,0,1,0,0,0,1
76,Good,12,1318,4,4,54,1,1,0,1,0,1,0,0,1,0,0
77,Bad,54,15945,3,4,58,1,1,0,1,0,1,0,0,0,0,0
78,Good,12,2012,4,2,61,1,1,1,1,0,0,0,0,0,0,1
79,Good,18,2622,4,4,34,1,1,1,1,0,1,0,0,1,0,0
80,Good,36,2337,4,4,36,1,1,1,1,0,1,0,0,0,0,1
81,Good,20,7057,3,4,36,2,2,0,1,0,1,0,0,0,1,0
82,Good,24,1469,4,4,41,1,1,1,1,0,0,0,0,1,0,0
83,Good,36,2323,4,4,24,1,1,1,1,0,1,0,0,1,0,0
84,Good,6,932,3,2,24,1,1,1,1,0,0,0,0,0,1,0
85,Good,12,2445,2,4,26,1,1,0,1,0,0,0,0,1,0,0
86,Good,12,6078,2,2,32,1,1,1,1,0,1,0,0,1,0,0
87,Good,24,7721,1,2,30,1,1,0,0,1,0,0,0,1,0,0
88,Good,14,1410,1,2,35,1,1,0,1,0,1,0,0,1,0,0
89,Good,15,392,4,4,23,1,1,0,1,0,0,1,0,1,0,0
90,Good,18,6260,3,3,28,1,1,1,1,0,1,0,0,1,0,0
91,Good,12,1680,3,1,35,1,1,1,1,1,0,0,0,1,0,0
92,Good,48,3578,4,1,47,1,1,0,1,0,0,0,0,0,0,1
93,Bad,42,7174,4,3,30,1,1,0,1,1,0,0,0,1,0,0
94,Bad,33,4281,1,4,23,2,1,1,1,1,0,0,0,0,0,1
95,Good,12,2366,3,3,36,1,1,0,1,0,1,0,0,0,0,1
96,Bad,21,1835,3,2,25,2,1,0,1,1,0,0,0,1,0,0
97,Good,24,3868,4,2,41,2,1,0,1,0,0,0,0,0,0,1
98,Good,12,1768,3,2,24,1,1,1,1,0,0,0,0,1,0,0
99,Good,10,781,4,4,63,2,1,0,1,0,0,1,0,0,0,1
100,Bad,18,1924,4,3,27,1,1,1,1,0,1,0,0,1,0,0
101,Good,12,701,4,2,40,1,1,1,1,1,0,0,0,1,0,0
102,Bad,12,639,4,2,30,1,1,1,1,0,1,0,0,1,0,0
103,Good,12,1860,4,2,34,2,1,0,1,0,1,0,0,0,0,1
104,Bad,12,3499,3,2,29,2,1,1,1,1,0,0,0,0,0,1
105,Good,48,8487,1,2,24,1,1,1,1,0,1,0,0,1,0,0
106,Good,15,2708,2,3,27,2,1,1,1,0,0,0,0,1,0,0
107,Good,18,1984,4,4,47,2,1,1,1,0,0,0,0,1,0,0
108,Good,60,10144,2,4,21,1,1,0,1,0,0,0,0,1,0,0
109,Good,12,1240,4,2,38,2,1,0,1,0,0,0,0,0,0,1
110,Bad,12,766,4,3,66,1,1,1,1,0,1,0,0,1,0,0
111,Good,12,1881,2,2,44,1,1,0,1,0,0,1,0,1,0,0
112,Good,6,709,2,2,27,1,1,1,0,0,0,1,0,1,0,0
113,Good,36,4795,4,1,30,1,1,0,1,0,1,0,0,1,0,0
114,Good,27,3416,3,2,27,1,1,1,1,1,0,0,0,1,0,0
